Designator,Mid-X,Mid-Y,Layer,Rotation
T1,80.2132,20.701,Top,0
R53,91.4654,10.8712,Top,180
R52,84.7977,12.7762,Top,90
R51,86.0712,12.7762,Top,90
R48,81.0928,12.7762,Top,90
R46,82.423,12.7762,Top,90
C44,83.7184,9.3218,Top,90
C42,91.4781,9.6774,Top,180
C41,75.7809,10.9982,Top,90
LED1,19,34.6281,Top,180
LED2,19,5.372,Top,0
SW1,3.7082,33.796,Top,270
U8,31.0887,10.8077,Top,270
X1,65.8247,31.3337,Top,270
U11,41.5848,33.112,Top,180
U10,66.929,19.558,Top,270
U9,20.1676,14.6558,Top,180
U7,13.462,13.0556,Top,90
U6,49.674,16.4396,Top,180
U5,28.7145,6.4561,Top,90
U4,22.9814,24.2124,Top,180
U3,30.0176,17.1958,Top,270
U2,29.4372,24.2124,Top,90
U1,33.853,17.2354,Top,90
SW4,62.1022,37.4564,Top,270
SW3,62.1022,2.4511,Top,90
SW2,4.1619,9.0784,Top,270
R50,38.4985,33.7708,Top,0
R49,38.4987,34.7708,Top,180
R47,66.6747,34.1135,Top,0
R45,66.6958,14.7296,Top,270
R44,70.8076,23.3583,Top,270
R43,86.7664,29.0322,Top,0
R42,66.179,24.3713,Top,270
R41,86.7791,30.1752,Top,0
R40,61.4659,14.7296,Top,270
R39,64.135,14.7292,Top,90
R38,62.5094,14.7296,Top,270
R37,74.3584,15.7998,Top,270
R36,74.3584,19.2562,Top,90
R35,74.3584,22.0218,Top,270
R34,74.3584,25.6276,Top,90
R33,38.4987,31.1601,Top,180
R32,41.1848,31.1601,Top,0
R31,35.0589,33.0895,Top,90
R30,40.9702,27.2034,Top,90
R29,74.1172,12.2936,Top,270
R28,74.5744,29.5148,Top,180
R27,64.8393,8.3683,Top,90
R26,17.1207,8.6513,Top,180
R25,20.6883,2.2352,Top,180
R24,26.035,2.8954,Top,90
R23,11.8362,19.6835,Top,180
R22,11.8361,20.8007,Top,180
R21,33.9997,12.191,Top,180
R20,8.3167,10.2106,Top,0
R19,20.7368,37.8536,Top,180
R18,33.1491,33.0956,Top,90
R17,26.548,33.1216,Top,90
R16,28.4175,33.0956,Top,90
R15,17.3014,2.2361,Top,180
R14,27.0945,2.8954,Top,270
R13,17.3544,31.4706,Top,180
R12,33.9997,11.0226,Top,180
R11,28.8022,29.3753,Top,270
R10,30.0722,29.3751,Top,270
R9,17.3676,37.8049,Top,180
R8,26.5479,29.3749,Top,270
R7,6.5023,26.8733,Top,270
R6,25.5319,29.3749,Top,270
R5,11.8367,18.3007,Top,180
R4,25.8304,21.4692,Top,90
R3,36.3481,15.9254,Top,270
R2,11.8362,22.2505,Top,180
R1,34.5821,26.6207,Top,90
Q4,34.0991,35.8902,Top,0
Q3,27.4574,35.8902,Top,0
L1,34.0558,6.5621,Top,270
J3,91.0082,20.0406,Top,270
J2,50.2572,33.2019,Top,180
J1,6.2455,20.553,Top,270
FB2,70.3326,31.3337,Top,90
FB1,14.4938,26.7206,Top,180
F1,14.0462,24.384,Top,0
D11,22.6314,29.5194,Top,90
D10,23.972,29.5193,Top,90
D9,31.3436,33.7058,Top,270
D8,24.638,33.7058,Top,270
D7,14.824,19.1167,Top,90
D6,14.82,21.3133,Top,270
D5,14.5288,29.1338,Top,0
D4,17.8308,23.1362,Top,90
D1,9.2771,26.9954,Top,90
C43,43.9724,32.477,Top,270
C40,65.4136,26.1108,Top,0
C39,78.5622,29.0322,Top,180
C38,61.2394,33.669,Top,0
C37,65.629,14.7296,Top,90
C36,61.595,29.8704,Top,180
C35,61.6032,30.9372,Top,180
C34,61.2394,32.1564,Top,0
C33,74.406,31.9843,Top,0
C32,74.8632,30.8003,Top,180
C31,63.3872,24.13,Top,90
C30,64.4398,24.13,Top,270
C29,15.1183,9.6853,Top,270
C28,25.334,14.0317,Top,0
C27,39.9288,27.2034,Top,270
C26,59.9814,36.0497,Top,90
C25,64.1313,5.6362,Top,270
C24,64.1059,3.6804,Top,270
C23,61.2132,8.3683,Top,90
C22,62.3626,8.3683,Top,90
C21,63.5121,8.3683,Top,90
C20,24.9623,2.8472,Top,270
C19,36.3474,9.4742,Top,180
C18,31.5665,2.3874,Top,90
C17,29.5148,2.3874,Top,90
C16,35.6698,2.3879,Top,90
C15,33.6182,2.3877,Top,90
C14,13.8686,18.9484,Top,90
C13,13.8686,21.4884,Top,270
C12,17.5514,26.4668,Top,90
C11,36.4,10.9989,Top,0
C10,8.3168,11.3284,Top,0
C9,19.7353,22.9659,Top,270
C8,18.7447,22.9659,Top,270
C7,22.6853,26.6439,Top,180
C6,7.6453,26.8733,Top,270
C5,11.2776,27.3939,Top,90
C4,10.1346,27.3939,Top,90
C3,33.1545,26.9001,Top,90
C2,25.8494,27.4147,Top,180
C1,33.3886,20.0317,Top,180
