Designator,Layer,Mid X,Mid Y,Rotation
J1,Top,6.2455,20.553,270
J3,Top,90.678,20.066,270
X1,Top,69.2015,26.3144,180
U12,Top,28.1858,24.4226,180
U8,Top,72.8569,32.5408,180
U11,Top,33.9154,19.1008,0
U10,Top,68.7578,17.4498,270
U9,Top,20.0406,17.7173,180
U7,Top,13.4875,14.8725,270
U5,Top,63.5938,34.1384,180
U4,Top,30.6788,9.7372,270
U3,Top,36.2966,35.8648,0
U2,Top,29.6682,34.883,270
U1,Top,42.0022,35.8723,180
SW4,Top,68.453,2.9464,90
SW3,Top,64.2112,2.9464,90
R21,Top,24.8156,25.6166,180
R17,Top,70.8878,32.5408,270
R16,Top,58.4709,31.7754,90
R18,Top,24.8158,24.4226,180
R50,Top,36.1455,16.4556,90
R49,Top,34.9308,16.4588,270
R46,Top,87.7824,7.9502,90
R45,Top,72.5393,27.8726,0
R44,Top,80.6197,13.6653,180
R43,Top,75.6666,23.122,180
R42,Top,75.6668,24.2266,0
R41,Top,68.0078,23.2283,270
R40,Top,75.6669,25.4962,0
R39,Top,62.535,15.113,0
R38,Top,65.621,27.0702,180
R37,Top,66.4404,11.6598,270
R36,Top,62.5348,13.4596,180
R35,Top,75.0568,18.0299,0
R34,Top,75.0568,20.0024,0
R33,Top,37.065,18.5453,270
R32,Top,37.065,20.7464,90
R30,Top,39.116,24.5364,90
R29,Top,75.0568,14.847,0
R28,Top,75.057,16.8194,0
R27,Top,60.6044,4.1656,270
R26,Top,16.585,8.725,180
R25,Top,18.5791,8.725,180
R24,Top,67.8756,32.4357,180
R23,Top,11.6205,19.803,180
R22,Top,11.6205,21.3029,180
R20,Top,9.6042,10.8456,270
R19,Top,23.1394,34.6281,180
R15,Top,20.649,8.725,180
R14,Top,67.8756,33.632,0
R13,Top,23.1394,36.2281,180
R11,Top,30.3033,29.8045,90
R10,Top,29.0306,29.8069,90
R9,Top,23.1392,33.0281,180
R8,Top,31.5732,29.8069,90
R7,Top,4.5045,26.7326,270
R6,Top,27.7624,29.8069,90
R5,Top,11.62,18.5547,180
R4,Top,33.6758,38.7915,270
R3,Top,44.9551,36.3559,270
R2,Top,11.6199,22.5425,180
R1,Top,40.8436,32.1818,180
LED2,Top,18.5791,5.372,0
LED1,Top,18.5791,34.6281,0
L1,Top,63.5938,38.1508,0
FB2,Top,71.9982,10.9195,270
FB1,Top,8.1262,28.0924,90
F1,Top,11.532,25.1942,90
D7,Top,14.4272,19.7299,90
D6,Top,14.4272,21.3939,270
D5,Top,12.827,29.4137,180
D4,Top,19.922,29.8817,270
D1,Top,14.4249,24.5504,90
C11,Top,76.1367,33.314,180
C41,Top,26.8312,20.7728,0
C25,Top,59.7918,35.4077,270
C27,Top,26.8311,21.9669,0
C43,Top,31.479,19.4046,90
C40,Top,85.0898,7.9502,90
C39,Top,80.6197,12.4712,0
C37,Top,72.9634,26.5243,180
C36,Top,67.6596,11.6598,90
C35,Top,62.5348,17.8194,180
C34,Top,62.535,19.0661,180
C33,Top,65.1762,21.9073,90
C32,Top,66.3702,21.9075,270
C31,Top,72.9634,21.7295,45
C30,Top,73.9084,11.1918,90
C29,Top,25.1292,17.0823,0
C28,Top,15.6464,12.8016,270
C26,Top,62.2566,16.4505,0
C24,Top,61.7982,4.1656,270
C23,Top,61.9633,7.6356,180
C22,Top,61.9633,8.8296,180
C21,Top,61.9633,10.0237,180
C20,Top,65.4567,31.1387,0
C19,Top,57.6325,35.4077,270
C18,Top,67.8755,37.5412,270
C17,Top,70.0662,37.5412,270
C16,Top,72.2568,37.5412,270
C15,Top,74.4474,37.5412,270
C14,Top,13.483,19.3284,90
C13,Top,13.483,21.7749,270
C12,Top,18.7826,30.1638,270
C10,Top,8.4102,10.8459,270
C9,Top,26.0448,13.4116,180
C8,Top,26.0466,12.2044,0
C7,Top,36.0049,3.4155,180
C6,Top,3.3104,26.7324,270
C5,Top,13.2864,23.7525,270
C4,Top,13.2864,25.7085,90
C3,Top,38.4164,32.248,270
C2,Top,25.9849,37.7915,180
C1,Top,39.1457,35.3934,270
SW1,Top,3.7082,33.796,270
U6,Top,49.674,16.4396,180
SW2,Top,4.1619,9.0784,270
J2,Top,50.5366,33.2019,180
