Designator,Mid-X,Mid-Y,Layer,Rotation
Q1,40.6806,7.7536,Top,0
X1,28.2308,22.7444,Top,180
U4,27.8892,14.4526,Top,270
U1,10.2,15,Top,90
TP9,21.082,23.749,Top,90
TP8,21.082,20.701,Top,90
TP7,21.074,6.25,Top,90
TP6,23.0886,6.25,Top,90
TP5,40.6908,10.414,Top,90
TP4,49.0728,10.414,Top,90
TP3,25.0949,6.25,Top,90
TP2,23.8906,23.124,Top,90
TP1,30.2399,6.1468,Top,90
SW2,26.162,28.067,Top,180
SW1,31.496,28.067,Top,0
R47,49.403,2.2606,Top,180
R46,41.1734,2.2606,Top,180
R45,49.403,3.7592,Top,180
R44,47.0916,3.7592,Top,0
R43,41.1734,3.6449,Top,180
R42,38.7096,3.6449,Top,0
R41,49.403,5.2578,Top,180
R40,47.0916,5.2578,Top,180
R39,41.1734,5.0292,Top,180
R38,38.7096,5.0292,Top,180
R37,28.4226,1.8662,Top,0
R36,28.4226,3.1465,Top,0
R35,20.2946,1.8662,Top,180
R34,20.2946,3.1465,Top,180
R33,45.9768,24.689,Top,0
R32,45.9768,26.289,Top,0
R31,45.9768,27.889,Top,0
R30,45.974,21.92,Top,0
R29,45.974,20.32,Top,0
R28,45.974,18.72,Top,0
R27,44.6786,7.5878,Top,270
R26,36.2712,7.5946,Top,270
R25,47.0916,2.2606,Top,0
R24,38.7096,2.2606,Top,0
R23,50.3047,27.889,Top,180
R22,50.3047,26.289,Top,180
R21,50.3047,24.689,Top,180
R20,48.1408,27.889,Top,180
R19,48.1408,26.289,Top,180
R18,31.4721,23.5944,Top,0
R17,48.1408,24.689,Top,180
R16,64.77,2.286,Top,180
R15,33.6511,18.22,Top,180
R14,33.6511,19.4011,Top,0
R13,27.1308,19.8996,Top,270
R12,33.6511,20.5949,Top,0
R11,21.074,10.0965,Top,270
R10,25.4146,23.124,Top,90
R9,25.2546,7.7495,Top,180
R8,13.3206,25.562,Top,0
R7,33.6511,15.083,Top,0
R6,33.6511,16.8736,Top,0
R5,33.6511,12.1162,Top,0
R4,33.6511,13.864,Top,0
R3,50.0634,21.4,Top,180
R2,21.209,28.0444,Top,180
R1,3.8608,3.9624,Top,270
Q2,49.0626,7.7536,Top,0
LED2/STATUS,41.275,26.289,Top,180
LED1/POWER,41.275,20.32,Top,0
J4,32.3596,2.6162,Top,180
J3,24.3586,2.6162,Top,0
J2,61,15,Top,270
J1,10.922,28.194,Top,0
FB1,28.8799,8.0589,Top,180
D4,46.167,8.2936,Top,90
D3,37.785,8.3124,Top,90
C19,24.6526,21.4499,Top,0
C18,31.6572,21.8944,Top,180
C17,25.2544,8.8265,Top,0
C16,22.2551,14.2443,Top,270
C15,21.074,14.2443,Top,270
C14,23.8026,19.2413,Top,90
C13,24.9701,19.2362,Top,270
C12,30.9969,18.0313,Top,0
C11,32.7953,7.7414,Top,180
C10,21.201,16.8556,Top,270
C7,64.77,4.699,Top,180
C6,50.0634,20.139,Top,0
C5,22.9627,27.5743,Top,270
C4,34.671,27.5745,Top,270
C3,2.0828,3.0483,Top,0
C2,2.0828,4.0645,Top,0
C1,2.54,1.6002,Top,180
